AREA_NAME,YEAR,CATEGORY,POLICE_INJURED_BY_CRIMINALS,POLICE_INJURED_BY_RIOTOUS_MOBS,POLICE_INJURED_IN_ACCIDENTS,POLICE_INJURED_IN_DACOITY_OPERATIONSOTHER_RAIDS,POLICE_INJURED_IN_TERRORISTSEXTREMISTS_OPERATIONS,POLICE_INJURED_ON_BORDER_DUTIES,TOTAL_POLICEMEN_INJURED,POLICE_KILLED_BY_CRIMINALS,POLICE_KILLED_BY_RIOTOUS_MOBS,POLICE_KILLED_IN_ACCIDENTS,POLICE_KILLED_IN_DACOITY_OPERATIONSOTHER_RAIDS,POLICE_KILLED_IN_TERRORISTSEXTREMISTS_OPERATIONS,POLICE_KILLED_ON_BORDER_DUTIES,TOTAL_POLICEMEN_KILLED
HIMACHAL PRADESH,2001, SUB-INSPECTORS,0,1,0,0,0,0,1,0,0,0,0,0,0,0
JAMMU & KASHMIR,2001, SUB-INSPECTORS,1,3,0,0,8,0,12,0,0,0,0,3,0,3
JHARKHAND,2001, SUB-INSPECTORS,0,0,3,0,10,0,13,1,0,0,0,2,0,3
KARNATAKA,2001, SUB-INSPECTORS,0,18,2,1,0,0,21,0,0,0,0,0,0,0
KERALA,2001, SUB-INSPECTORS,7,29,1,0,0,0,37,0,0,0,0,0,0,0
LAKSHADWEEP,2001, SUB-INSPECTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,2001, SUB-INSPECTORS,3,6,0,0,0,0,9,0,0,0,0,0,0,0
MAHARASHTRA,2001, SUB-INSPECTORS,6,48,4,4,0,0,62,2,0,4,0,0,0,6
MANIPUR,2001, SUB-INSPECTORS,0,0,0,1,0,0,1,0,0,0,0,0,0,0
MEGHALAYA,2001, SUB-INSPECTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,2001, SUB-INSPECTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2001, SUB-INSPECTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,2001, SUB-INSPECTORS,0,5,1,1,0,0,7,0,0,0,0,0,0,0
PUDUCHERRY,2001, SUB-INSPECTORS,1,0,0,0,0,0,1,0,0,0,0,0,0,0
PUNJAB,2001, SUB-INSPECTORS,0,0,0,0,0,0,0,0,0,2,0,0,0,2
RAJASTHAN,2001, SUB-INSPECTORS,13,7,1,1,0,0,22,0,0,1,0,0,0,1
SIKKIM,2001, SUB-INSPECTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2001, SUB-INSPECTORS,5,8,13,2,0,0,28,0,0,4,0,0,0,4
TRIPURA,2001, SUB-INSPECTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,2001, SUB-INSPECTORS,4,10,13,5,0,0,32,1,0,6,1,0,0,8
UTTARAKHAND,2001, SUB-INSPECTORS,0,1,0,0,0,0,1,0,0,0,0,0,0,0
WEST BENGAL,2001, SUB-INSPECTORS,5,47,35,9,0,0,96,0,1,4,0,0,0,5
ANDAMAN & NICOBAR ISLANDS,2002, ASSISTANT SUB-INSPECTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
